_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;BookId
1952;Yours sincerely;['Yours sincerely'];[('Yours', ['Pron GEN ref2nd']), ('sincerely', ['Adv'])];['Y6200 Y52640000'];['your', 'sincerely'];[('your', ['Pron GEN ref2nd']), ('sincerely', ['Adv'])];[('your', 'Pron'), ('sincerely', 'Adv')];Mit freundlichen Grüßen;[['Mit freundlichen Grüßen']];[''];['62 3762546 4786'];[''];[''];passiv;5/C2;II;ph;;;[]
1953;sensible;['sensible'];[('sensible', ['A'])];['S5214000'];['sensible'];[('sensible', ['A'])];[('sensible', 'A')];vernünftig, angemessen;[['vernünftig'], ['angemessen']];[''];[['3766324'], ['064686']];[''];[''];aktiv;5/C3;II;a;*sensible* ↔ silly (*!* Englisch „sensible“ = Deutsch „vernünftig“);;[]
1954;strict;['strict'];[('strict', ['A'])];['S36230'];['strict'];[('strict', ['A'])];[('strict', 'A')];streng, strikt, genau;[['streng'], ['strikt'], ['genau']];[''];[['82764'], ['82742'], ['46']];[''];[''];aktiv;5/C3;II;a;Our school rules are very *strict*.;;[]
1955;to convince;['to convince'];[('to', ['V TO']), ('convince', ['V INF'])];['T0 T5152000'];['convince'];[('convince', ['V INF'])];[('convince', 'V')];überzeugen;[['überzeugen']];[''];['017846'];[''];[''];aktiv;5/C4;II;v;He had a very good argument so he was able to *convince* me.;;[]
1956;yours;['yours'];[('yours', ['Pron GEN ref2nd'])];['Y6200'];['your'];[('your', ['Pron GEN ref2nd'])];[('your', 'Pron')];deine(r, s), eure(r, s), Ihre(r, s);[['deine'], ['deiner'], ['deines'], ['eure'], ['eurer'], ['eures'], ['Ihre'], ['Ihrer'], ['Ihres']];[''];[['26'], ['267'], ['268'], ['07'], ['077'], ['078'], ['07'], ['077'], ['078']];[''];[''];aktiv;5/C5;II;p;;;['1832', '1776', '1724', '1729', '1831', '1718', '1800', '1824']
1957;mine;['mine'];[('mine', ['Pron GEN ref1sg'])];['M500'];['mine'];[('mine', ['Pron GEN ref1sg'])];[('mine', 'Pron')];meine(r, s), meins;[['meine'], ['meiner'], ['meines'], ['meins']];[''];[['66'], ['667'], ['668'], ['668']];[''];[''];aktiv;5/C5;II;p;;;[]
1958;his;['his'];[('his', ['Pron GEN ref3sg refmasc'])];['H20'];['his'];[('his', ['Pron GEN ref3sg refmasc'])];[('his', 'Pron')];seine(r, s), seins;[['seine'], ['seiner'], ['seines'], ['seins']];[''];[['86'], ['867'], ['868'], ['868']];[''];[''];aktiv;5/C5;II;p;;;['1737', '1736', '1754', '1798', '1735', '1787']
1959;to give away;['to give away'];[('to', ['V TO']), ('give', ['V INF']), ('away', [['V']])];['T0 T100 T000'];['give', 'away'];[('give', ['V INF']), ('away', [['V']])];[('give', 'V'), ('away', 'V')];verschenken, hergeben;[['verschenken'], ['hergeben']];[''];[['378646'], ['07416']];[''];[''];passiv;5/C5;II;irr;;;[]
1960;to pinch;['to pinch'];[('to', ['V TO']), ('pinch', ['V INF'])];['T0 T5200'];['pinch'];[('pinch', ['V INF'])];[('pinch', 'V')];kneifen, hier: klauen;[['kneifen'], ['klauen']];[''];[['4636'], ['456']];[''];[''];passiv;5/C5;II;v;;;['1737']
1961;hers;['hers'];[('hers', ['Pron GEN ref3sg reffem'])];['H620'];['hers'];[('hers', ['Pron GEN ref3sg reffem'])];[('hers', 'Pron')];ihre(r, s), ihrs;[['ihre'], ['ihrer'], ['ihres'], ['ihrs']];[''];[['07'], ['077'], ['078'], ['078']];[''];[''];aktiv;5/C5;II;p;;;['1738']
1962;to go mad;['to go mad'];[('to', ['V TO']), ('go', ['V INF']), ('mad', ['A'])];['T0 T0 T30'];['go', 'mad'];[('go', ['V INF']), ('mad', ['A'])];[('go', 'V'), ('mad', 'A')];verrückt werden, ausflippen;[['verrückt werden'], ['ausflippen']];[''];[['3742 3726'], ['083516']];[''];[''];passiv;5/C5;II;ph;;;['1738']
1963;bag;['bag'];[('bag', ['N 3sg'])];['B20'];['bag'];[('bag', ['N 3sg'])];[('bag', 'N')];Tasche, hier: Tüte;[['Tasche'], ['Tüte']];[''];[['28'], ['22']];[''];[''];aktiv;5/C5;II;s;She’s carrying five *bags*.;ID 4771168;['1718', '1808', '1741', '1744']
1964;anyway;['anyway'];[('anyway', ['Adv'])];['A50000'];['anyway'];[('anyway', ['Adv'])];[('anyway', 'Adv')];sowieso, jedenfalls, hier: überhaupt;[['sowieso'], ['jedenfalls'], ['überhaupt']];[''];[['838'], ['026358'], ['01712']];[''];[''];passiv;5/C5;II;av;;;['1741']
1965;theirs;['theirs'];[('theirs', ['Pron GEN ref3pl'])];['T62000'];['theirs'];[('theirs', ['Pron GEN ref3pl'])];[('theirs', 'Pron')];ihre(r, s), ihrs;[['ihre'], ['ihrer'], ['ihres'], ['ihrs']];[''];[['07'], ['077'], ['078'], ['078']];[''];[''];aktiv;5/C5;II;p;;;['1744']
1966;front (no pl);['front'];[('front', ['N 3sg'])];['F6530'];['front'];[('front', ['N 3sg'])];[('front', 'N')];vorderer Bereich;[['vorderer Bereich']];[''];['37277 174'];[''];[''];passiv;5/C5;II;s;;;['1745']
1967;coach;['coach'];[('coach', ['N 3sg'])];['C2000'];['coach'];[('coach', ['N 3sg'])];[('coach', 'N')];(Omni)bus, Reisebus;[['bus'], ['Omnibus'], ['Reisebus']];[''];[['18'], ['0618'], ['7818']];[''];[''];aktiv;5/C5;II;s;coach;ID 4780143;['1747']
1968;to wake up;['to wake up'];[('to', ['V TO']), ('wake', ['V INF']), ('up', ['V INF'])];['T0 T200 T1'];['wake', 'up'];[('wake', ['V INF']), ('up', ['V INF'])];[('wake', 'V'), ('up', 'V')];aufwecken, aufwachen;[['aufwecken'], ['aufwachen']];[''];[['0346'], ['0346']];[''];[''];aktiv;5/C6;II;irr;He *has* just *woken up*.;ID 1389834;[]
1969;Get off!;['Get off'];[('Get', ['V INF']), ('off', ['Part'])];['G30 G10'];['get', 'off'];[('get', ['V INF']), ('off', ['Part'])];[('get', 'V'), ('off', 'Part')];Geh weg!;[['Geh weg']];[''];['4 34'];[''];[''];passiv;5/C6;II;ph;;;['1758']
1970;to fall down;['to fall down'];[('to', ['V TO']), ('fall', ['V INF']), ('down', ['V INF'])];['T0 T400 T500'];['fall', 'down'];[('fall', ['V INF']), ('down', ['V INF'])];[('fall', 'V'), ('down', 'V')];hin(unter)fallen, (ein)stürzen, hier: zusammenfallen;[['hinfallen'], ['hinunterfallen'], ['stürzen'], ['einstürzen'], ['zusammenfallen']];[''];[['06356'], ['06627356'], ['82786'], ['0682786'], ['8866356']];[''];[''];passiv;5/C6;II;irr;;;[]
1971;to put up;['to put up'];[('to', ['V TO']), ('put', ['V PAST STR', 'V PPART STR', 'V INF']), ('up', ['V INF'])];['T0 T30 T1'];['put', 'up'];[('put', ['V PAST STR', 'V PPART STR', 'V INF']), ('up', ['V INF'])];[('put', 'V'), ('up', 'V')];aufhängen, hochheben, hier: aufstellen;[['aufhängen'], ['hochheben'], ['aufstellen']];[''];[['03646'], ['0416'], ['038256']];[''];[''];aktiv;5/C6;II;irr;It’s time to *put up* our tent.;;[]
1972;early;['early'];[('early', ['A', 'Adv'])];['E6400'];['early'];[('early', ['A', 'Adv'])];[[('early', 'A')], [('early', 'Adv')]];früh, zeitig;[['früh'], ['zeitig']];[''];[['37'], ['824']];[''];[''];aktiv;5/C6;II;a/av;During the holidays I never get up *early*.;;['1767']
1973;to have/take a shower;[['to have a shower'], ['to take a shower']];[[('to', ['V TO']), ('have', ['V INF']), ('a', ['Det']), ('shower', ['N 3sg'])], [('to', ['V TO']), ('take', ['V INF']), ('a', ['Det']), ('shower', ['N 3sg'])]];[['T0 T100 T T60000'], ['T0 T200 T T60000']];[['have', 'a', 'shower'], ['take', 'a', 'shower']];[[('have', ['V INF']), ('a', ['Det']), ('shower', ['N 3sg'])], [('take', ['V INF']), ('a', ['Det']), ('shower', ['N 3sg'])]];[[('have', 'V'), ('a', 'Det'), ('shower', 'N')], [('take', 'V'), ('a', 'Det'), ('shower', 'N')]];sich duschen;[['sich duschen']];[''];['84 286'];[''];[''];aktiv;5/C6;II;ph;He*’s taking a shower*.;ID 1394758;['1769', '1772']
1974;Hurry up!;['Hurry up'];[('Hurry', ['V INF']), ('up', ['Adv'])];['H6000 H1'];['hurry', 'up'];[('hurry', ['V INF']), ('up', ['Adv'])];[('hurry', 'V'), ('up', 'Adv')];Beeil dich!, Beeilt euch!;[['Beeil dich'], ['Beeilt euch']];[''];[['15 24'], ['152 04']];[''];[''];aktiv;5/C6;II;ph;;ID 1389838;[]
1975;metre;['metre'];[('metre', ['N 3sg'])];['M3600'];['metre'];[('metre', ['N 3sg'])];[('metre', 'N')];Meter;[['Meter']];[''];['627'];[''];[''];passiv;5/C6;II;s;;;['1774']
1976;to stand up;['to stand up'];[('to', ['V TO']), ('stand', ['V INF']), ('up', ['V INF'])];['T0 T3530 T1'];['stand', 'up'];[('stand', ['V INF']), ('up', ['V INF'])];[('stand', 'V'), ('up', 'V')];aufstehen;[['aufstehen']];[''];['03826'];[''];[''];aktiv;5/C6;II;irr;to *stand up* ↔ to sit down;;[]
1977;this;['this'];[('this', ['Det'])];['T200'];['this'];[('this', ['Det'])];[('this', 'Det')];diese(r, s);[['diese'], ['dieser'], ['dieses']];[''];[['28'], ['287'], ['288']];[''];[''];passiv;5/C6;II;d;;;['1827', '1732', '1780', '1789', '1808']
1978;to hold up;['to hold up'];[('to', ['V TO']), ('hold', ['V INF']), ('up', ['V INF'])];['T0 T430 T1'];['hold', 'up'];[('hold', ['V INF']), ('up', ['V INF'])];[('hold', 'V'), ('up', 'V')];hochhalten;[['hochhalten']];[''];['04526'];[''];[''];passiv;5/C6;II;irr;;;[]
1979;wet;['wet'];[('wet', ['A'])];['W30'];['wet'];[('wet', ['A'])];[('wet', 'A')];nass;[['nass']];[''];['68'];[''];[''];aktiv;5/C6;II;a;It’s raining. My shoes are *wet*.;;['1780']
1980;owner;['owner'];[('owner', ['N 3sg'])];['O5600'];['owner'];[('owner', ['N 3sg'])];[('owner', 'N')];Besitzer/in, Eigentümer/in;[['Besitzer'], ['Besitzerin'], ['Eigentümer'], ['Eigentümerin']];[''];[['1887'], ['18876'], ['046267'], ['0462676']];[''];[''];passiv;5/C6;II;s;;;['1782']
1981;dirty;['dirty'];[('dirty', ['A'])];['D6300'];['dirty'];[('dirty', ['A'])];[('dirty', 'A')];dreckig, schmutzig;[['dreckig'], ['schmutzig']];[''];[['2744'], ['8684']];[''];[''];aktiv;5/C6;II;a;;;['1789']
1982;straight;['straight'];[('straight', ['Adv'])];['S3623000'];['straight'];[('straight', ['Adv'])];[('straight', 'Adv')];gerade(aus), direkt;[['gerade'], ['geradeaus'], ['direkt']];[''];[['472'], ['4728'], ['2742']];[''];[''];passiv;5/C6;II;av;;;['1789']
1983;bin;['bin'];[('bin', ['N 3sg'])];['B50'];['bin'];[('bin', ['N 3sg'])];[('bin', 'N')];Mülleimer, Mülltonne;[['Mülleimer'], ['Mülltonne']];[''];[['6567'], ['6526']];[''];[''];aktiv;5/C6;II;s;;ID 1403544;['1789']
1984;to go red;['to go red'];[('to', ['V TO']), ('go', ['V INF']), ('red', ['A'])];['T0 T0 T30'];['go', 'red'];[('go', ['V INF']), ('red', ['A'])];[('go', 'V'), ('red', 'A')];rot werden;[['rot werden']];[''];['72 3726'];[''];[''];passiv;5/C6;II;ph;;;['1790']
1985;to walk up to sb;[['to walk up to'], ['to walk up to sb']];[[('to', ['V TO']), ('walk', ['V INF']), ('up', ['Part']), ('to', ['V TO'])]];[['T0 T420 T1 T0'], ['T0 T420 T1 T0 T1']];[['walk', 'up', 'to']];[[('walk', ['V INF']), ('up', ['Part']), ('to', ['V TO'])]];[[('walk', 'V'), ('up', 'Part'), ('to', 'V')]];auf jdn zugehen;[['auf jdn zugehen']];[''];['03 026 846'];[''];[''];passiv;5/C6;II;ph;;;['1794']
1986;to play a trick on sb;[['to play a trick on'], ['to play a trick on sb']];[[('to', ['V TO']), ('play', ['V INF']), ('a', ['Det']), ('trick', ['N 3sg']), ('on', ['Adv'])]];[['T0 T400 T T6200 T5'], ['T0 T400 T T6200 T5 T1']];[['play', 'a', 'trick', 'on']];[[('play', ['V INF']), ('a', ['Det']), ('trick', ['N 3sg']), ('on', ['Adv'])]];[[('play', 'V'), ('a', 'Det'), ('trick', 'N'), ('on', 'Adv')]];jdm einen Streich spielen;[['jdm einen Streich spielen']];[''];['026 066 8274 8156'];[''];[''];passiv;5/C6;II;ph;;;[]
1987;to leave sb alone;[['to leave alone'], ['to leave sb alone']];[[('to', ['V TO']), ('leave', ['V INF']), ('alone', ['Adv'])]];[['T0 T1000 T4500'], ['T0 T1000 T1 T4500']];[['leave', 'alone']];[[('leave', ['V INF']), ('alone', ['Adv'])]];[[('leave', 'V'), ('alone', 'Adv')]];jdn in Ruhe lassen;[['jdn in Ruhe lassen']];[''];['026 06 7 586'];[''];[''];passiv;5/C6;II;ph;;;[]
1988;may;['may'];[('may', ['V PRES'])];['M00'];['may'];[('may', ['V PRES'])];[('may', 'V')];können, dürfen, hier: vielleicht;[['können'], ['dürfen'], ['vielleicht']];[''];[['466'], ['2736'], ['3542']];[''];[''];passiv;5/C6;II;v;;;['1807', '1719']
1989;to bully;['to bully'];[('to', ['V TO']), ('bully', ['V INF'])];['T0 T4000'];['bully'];[('bully', ['V INF'])];[('bully', 'V')];tyrannisieren, mobben;[['tyrannisieren'], ['mobben']];[''];[['276876'], ['616']];[''];[''];aktiv;5/C6;II;v;Jo and Alicia *are bullying* Janet. It’s awful for her.;;['1814']
1990;rowing (no pl);['rowing'];[('rowing', ['V PROG'])];['R52000'];['row'];[('row', ['V PROG'])];[('row', 'V')];Rudern;[['Rudern']];[''];['7276'];[''];[''];passiv;6/A2;II;s;;;[]
1991;health (no pl);['health'];[('health', ['N 3sg'])];['H43000'];['health'];[('health', ['N 3sg'])];[('health', 'N')];Gesundheit;[['Gesundheit']];[''];['48622'];[''];[''];aktiv;6/A2;II;s;Nina has *health* problems. She’s often ill.;;[]
1992;up and down;['up and down'];[('up', ['Adv']), ('and', ['Conj']), ('down', ['Adv'])];['U1 U53 U500'];['up', 'and', 'down'];[('up', ['Adv']), ('and', ['Conj']), ('down', ['Adv'])];[('up', 'Adv'), ('and', 'Conj'), ('down', 'Adv')];auf und ab;[['auf und ab']];[''];['03 062 01'];[''];[''];passiv;6/A2;II;ph;;;['1836']
1993;second;['second'];[('second', ['N 3sg'])];['S25300'];['second'];[('second', ['N 3sg'])];[('second', 'N')];Sekunde;[['Sekunde']];[''];['8462'];[''];[''];passiv;6/A2;II;s;;;['1837', '1834']
1994;to be out of/short of breath;[['to be out of breath'], ['to be short of breath']];[[('to', ['V TO']), ('be', ['V INF']), ('out', ['Part']), ('of', ['Prep']), ('breath', ['N 3sg'])], [('to', ['V TO']), ('be', ['V INF']), ('short', ['A']), ('of', ['Prep']), ('breath', ['N 3sg'])]];[['T0 T0 T30 T1 T63000'], ['T0 T0 T6300 T1 T63000']];[['be', 'out', 'of', 'breath'], ['be', 'short', 'of', 'breath']];[[('be', ['V INF']), ('out', ['Part']), ('of', ['Prep']), ('breath', ['N 3sg'])], [('be', ['V INF']), ('short', ['A']), ('of', ['Prep']), ('breath', ['N 3sg'])]];[[('be', 'V'), ('out', 'Part'), ('of', 'Prep'), ('breath', 'N')], [('be', 'V'), ('short', 'A'), ('of', 'Prep'), ('breath', 'N')]];atemlos sein, außer Atem sein;[['atemlos sein'], ['außer Atem sein']];[''];[['02658 86'], ['087 026 86']];[''];[''];passiv;6/A2;II;ph;;;['1834', '1836']
1995;to touch;['to touch'];[('to', ['V TO']), ('touch', ['V INF'])];['T0 T2000'];['touch'];[('touch', ['V INF'])];[('touch', 'V')];berühren;[['berühren']];[''];['1776'];[''];[''];aktiv;6/A2;II;v;Don’t *touch* it. It’s hot.;;['1835']
1996;stairs;['stairs'];[('stairs', ['N 3pl', 'N 3sg'])];['S36200'];['stair'];[('stair', ['N 3pl', 'N 3sg'])];[('stair', 'N')];Treppe, hier: Treppenstufen;[['Treppe'], ['Treppenstufen']];[''];[['271'], ['27168236']];[''];[''];passiv;6/A2;II;s;;;['1836']
1997;a little;['a little'];[('a', ['Det']), ('little', ['A'])];['A A34000'];['a', 'little'];[('a', ['Det']), ('little', ['A'])];[('a', 'Det'), ('little', 'A')];(ein) wenig, (ein) bisschen;[['wenig'], ['ein wenig'], ['bisschen'], ['ein bisschen']];[''];[['364'], ['06 364'], ['186'], ['06 186']];[''];[''];passiv;6/A2;II;ph;;;[]
1998;to balance;['to balance'];[('to', ['V TO']), ('balance', ['V INF'])];['T0 T452000'];['balance'];[('balance', ['V INF'])];[('balance', 'V')];balancieren;[['balancieren']];[''];['15676'];[''];[''];passiv;6/A2;II;v;;;['1837']
1999;press-up (BE);['press-up'];[('press-up', ['N 3sg'])];['P6210000'];['press-up'];[('press-up', ['N 3sg'])];[('press-up', 'N')];Liegestütz;[['Liegestütz']];[''];['54828'];[''];[''];passiv;6/A2;II;s;;;['1838']
2000;hardly;['hardly'];[('hardly', ['Adv'])];['H63400'];['hardly'];[('hardly', ['Adv'])];[('hardly', 'Adv')];kaum;[['kaum']];[''];['46'];[''];[''];aktiv;6/A2;II;av;She is ill. She can *hardly* speak.;;[]
2001;mostly;['mostly'];[('mostly', ['Adv'])];['M23400'];['mostly'];[('mostly', ['Adv'])];[('mostly', 'Adv')];meistens, größtenteils, hauptsächlich;[['meistens'], ['größtenteils'], ['hauptsächlich']];[''];[['68268'], ['47826258'], ['018454']];[''];[''];passiv;6/A2;II;av;;;[]
2002;as fit as a fiddle (informal);['as fit as a fiddle'];[('as', ['Prep']), ('fit', ['N 3sg']), ('as', ['Prep']), ('a', ['Det']), ('fiddle', ['N 3sg'])];['A2 A30 A2 A A34000'];['as', 'fit', 'as', 'a', 'fiddle'];[('as', ['Prep']), ('fit', ['N 3sg']), ('as', ['Prep']), ('a', ['Det']), ('fiddle', ['N 3sg'])];[('as', 'Prep'), ('fit', 'N'), ('as', 'Prep'), ('a', 'Det'), ('fiddle', 'N')];fit wie ein Turnschuh;[['fit wie ein Turnschuh']];[''];['32 3 06 2768'];[''];[''];passiv;6/A2;II;ph;;;['1839']
2003;to keep up;['to keep up'];[('to', ['V TO']), ('keep', ['V INF']), ('up', ['V INF'])];['T0 T100 T1'];['keep', 'up'];[('keep', ['V INF']), ('up', ['V INF'])];[('keep', 'V'), ('up', 'V')];hochhalten, hier: weiterhin tun;[['hochhalten'], ['weiterhin tun']];[''];[['04526'], ['3276 26']];[''];[''];passiv;6/A2;II;irr;;;[]
2004;to share;['to share'];[('to', ['V TO']), ('share', ['V INF'])];['T0 T6000'];['share'];[('share', ['V INF'])];[('share', 'V')];teilen;[['teilen']];[''];['256'];[''];[''];passiv;6/A2;II;v;;;['1841']
2005;love;['love'];[('love', ['N 3sg'])];['L100'];['love'];[('love', ['N 3sg'])];[('love', 'N')];Liebe;[['Liebe']];[''];['51'];[''];[''];passiv;6/A2;II;s;;;['1841']
2006;to get;['to get'];[('to', ['V TO']), ('get', ['V INF'])];['T0 T30'];['get'];[('get', ['V INF'])];[('get', 'V')];erhalten, bekommen, hier: werden, geraten;[['erhalten'], ['bekommen'], ['werden'], ['geraten']];[''];[['07526'], ['1466'], ['3726'], ['4726']];[''];[''];aktiv;6/A2;II;irr;The boys *got* into trouble.;;['1845', '1846', '1843']
2007;to cycle;['to cycle'];[('to', ['V TO']), ('cycle', ['V INF'])];['T0 T2400'];['cycle'];[('cycle', ['V INF'])];[('cycle', 'V')];Rad fahren, radeln;[['Rad fahren'], ['radeln']];[''];[['72 376'], ['7256']];[''];[''];aktiv;6/A2;II;v;to *cycle* = to ride a bike;;['1847']
2008;to run (away);[['to run'], ['to run away']];[[('to', ['V TO']), ('run', ['V PPART STR', 'V INF'])], [('to', ['V TO']), ('run', ['V PPART STR', 'V INF']), ('away', [['V']])]];[['T0 T50'], ['T0 T50 T000']];[['run'], ['run', 'away']];[[('run', ['V PPART STR', 'V INF'])], [('run', ['V PPART STR', 'V INF']), ('away', [['V']])]];[[('run', 'V')], [('run', 'V'), ('away', 'V')]];(weg)rennen, hier auch: laufen;[['rennen'], ['wegrennen'], ['laufen']];[''];[['766'], ['34766'], ['536']];[''];[''];aktiv;6/A2;II;irr;;;['1843']
2009;flexible;['flexible'];[('flexible', ['A'])];['F4214000'];['flexible'];[('flexible', ['A'])];[('flexible', 'A')];flexibel, biegsam, gelenkig;[['flexibel'], ['biegsam'], ['gelenkig']];[''];[['354815'], ['1486'], ['45644']];[''];[''];passiv;6/A2;II;a;;;['1844']
2010;stretching exercise;['stretching exercise'];[('stretching', ['V PROG']), ('exercise', ['N 3sg'])];['S363252000 S2622000'];['stretch', 'exercise'];[('stretch', ['V PROG']), ('exercise', ['N 3sg'])];[('stretch', 'V'), ('exercise', 'N')];Dehnungsübung;[['Dehnungsübung']];[''];['26648164'];[''];[''];passiv;6/A2;II;s;;;['1844']
2011;Oh dear! (informal);['Oh dear'];[('Oh', ['I']), ('dear', [['I']])];['O0 O600'];['oh', 'dear'];[('oh', ['I']), ('dear', [['I']])];[('oh', 'I'), ('dear', 'I')];Du meine Güte!;[['Du meine Güte']];[''];['2 66 42'];[''];[''];passiv;6/A2;II;i;;;[]
2012;to get off;['to get off'];[('to', ['V TO']), ('get', ['V INF']), ('off', [['V']])];['T0 T30 T10'];['get', 'off'];[('get', ['V INF']), ('off', [['V']])];[('get', 'V'), ('off', 'V')];aussteigen, hier: runterkommen;[['aussteigen'], ['runterkommen']];[''];[['08246'], ['7627466']];[''];[''];aktiv;6/A2;II;irr;;;[]
2013;about;['about'];[('about', ['Prep'])];['A1300'];['about'];[('about', ['Prep'])];[('about', 'Prep')];über, hier: zu;[['über'], ['zu']];[''];[['017'], ['8']];[''];[''];aktiv;6/A3;II;pr;;;[]
2014;sports (AE, pl);['sports'];[('sports', ['N 3pl', 'N 3sg'])];['S16320'];['sport'];[('sport', ['N 3pl', 'N 3sg'])];[('sport', 'N')];Sport, Sportart;[['Sport'], ['Sportart']];[''];[['8172'], ['817272']];[''];[''];passiv;6/A6;II;s;;;['1841']
2015;Say why.;['Say why'];[('Say', ['V INF']), ('why', ['Adv'])];['S00 S00'];['say', 'why'];[('say', ['V INF']), ('why', ['Adv'])];[('say', 'V'), ('why', 'Adv')];Sag warum.;[['Sag warum']];[''];['84 376'];[''];[''];passiv;6/B1;II;ph;;;[]
2016;to score (a goal);[['to score'], ['to score a goal']];[[('to', ['V TO']), ('score', ['N 3sg'])], [('to', ['V TO']), ('score', ['V INF']), ('a', ['Det']), ('goal', ['N 3sg'])]];[['T0 T6000'], ['T0 T6000 T T400']];[['score'], ['score', 'a', 'goal']];[[('score', ['N 3sg'])], [('score', ['V INF']), ('a', ['Det']), ('goal', ['N 3sg'])]];[[('score', 'N')], [('score', 'V'), ('a', 'Det'), ('goal', 'N')]];(ein Tor) schießen;[['schießen'], ['ein Tor schießen']];[''];[['886'], ['06 27 886']];[''];[''];aktiv;6/B1;II;ph;Alex *scored* a fantastic goal.;;[]
2017;to leave;['to leave'];[('to', ['V TO']), ('leave', ['V INF'])];['T0 T1000'];['leave'];[('leave', ['V INF'])];[('leave', 'V')];verlassen, weggehen, hier: lassen;[['verlassen'], ['weggehen'], ['lassen']];[''];[['37586'], ['346'], ['586']];[''];[''];aktiv;6/B1;II;irr;She *left* him waiting outside.;;['1848']
2018;to stand;['to stand'];[('to', ['V TO']), ('stand', ['V INF'])];['T0 T3530'];['stand'];[('stand', ['V INF'])];[('stand', 'V')];stehen;[['stehen']];[''];['826'];[''];[''];aktiv;6/B1;II;irr;Jack had to *stand* in the corner.;;['1848']
2019;I took the team on whole.;['I took the team on whole'];[('I', ['Pron 1sg nom']), ('took', ['V PAST STR']), ('the', ['Det']), ('team', ['N 3sg']), ('on', ['Prep']), ('whole', ['N 3sg'])];['I I200 I00 I500 I5 I4000'];['I', 'take', 'the', 'team', 'on', 'whole'];[('I', ['Pron 1sg nom']), ('take', ['V PAST STR']), ('the', ['Det']), ('team', ['N 3sg']), ('on', ['Prep']), ('whole', ['N 3sg'])];[('I', 'Pron'), ('take', 'V'), ('the', 'Det'), ('team', 'N'), ('on', 'Prep'), ('whole', 'N')];Ich nahm es mit der ganzen Mannschaft auf.;[['Ich nahm es mit der ganzen Mannschaft auf']];[''];['04 66 08 62 27 4686 66832 03'];[''];[''];passiv;6/B1;II;ph;;;['1848']
